modelo,umbral,tasa_aprobacion,mora_aprobados,precision,recall,f1
V1 (con Genero),0.57,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.575,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.58,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.585,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.59,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.595,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.6,1.0,0.0915,0.0,0.0,0.0
V2 (sin Genero),0.02,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.025,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.03,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.035,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.04,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.045,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.05,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.055,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.06,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.065,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.07,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.075,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.08,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.085,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.09,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.095,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.1,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.105,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.11,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.115,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.12,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.125,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.13,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.135,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.14,0.0,0.0,0.0915,1.0,0.16766
V2 (sin Genero),0.145,0.00218,0.0,0.0917,1.0,0.168
V2 (sin Genero),0.15,0.00436,0.0,0.0919,1.0,0.16834
V2 (sin Genero),0.155,0.00436,0.0,0.0919,1.0,0.16834
V2 (sin Genero),0.16,0.00871,0.0,0.09231,1.0,0.16901
V2 (sin Genero),0.165,0.00871,0.0,0.09231,1.0,0.16901
V2 (sin Genero),0.17,0.01089,0.0,0.09251,1.0,0.16935
V2 (sin Genero),0.175,0.01307,0.0,0.09272,1.0,0.1697
V2 (sin Genero),0.18,0.01743,0.0,0.09313,1.0,0.17039
V2 (sin Genero),0.185,0.01961,0.11111,0.09111,0.97619,0.16667
V2 (sin Genero),0.19,0.01961,0.11111,0.09111,0.97619,0.16667
V2 (sin Genero),0.195,0.02179,0.1,0.09131,0.97619,0.16701
V2 (sin Genero),0.2,0.02832,0.07692,0.09193,0.97619,0.16803
V2 (sin Genero),0.205,0.03486,0.0625,0.09255,0.97619,0.16907
V2 (sin Genero),0.21,0.04793,0.04545,0.09382,0.97619,0.17119
V2 (sin Genero),0.215,0.05664,0.03846,0.09469,0.97619,0.17263
V2 (sin Genero),0.22,0.06972,0.03125,0.09602,0.97619,0.17484
V2 (sin Genero),0.225,0.08279,0.02632,0.09739,0.97619,0.17711
V2 (sin Genero),0.23,0.08715,0.025,0.09785,0.97619,0.17787
V2 (sin Genero),0.235,0.1024,0.06383,0.09466,0.92857,0.17181
V2 (sin Genero),0.24,0.10675,0.06122,0.09512,0.92857,0.17257
V2 (sin Genero),0.245,0.11765,0.05556,0.0963,0.92857,0.1745
V2 (sin Genero),0.25,0.13725,0.06349,0.09596,0.90476,0.17352
V2 (sin Genero),0.255,0.16122,0.06757,0.0961,0.88095,0.1733
V2 (sin Genero),0.26,0.17865,0.06098,0.09814,0.88095,0.17661
V2 (sin Genero),0.265,0.1939,0.06742,0.0973,0.85714,0.17476
V2 (sin Genero),0.27,0.20261,0.06452,0.09836,0.85714,0.17647
V2 (sin Genero),0.275,0.21351,0.07143,0.09695,0.83333,0.1737
V2 (sin Genero),0.28,0.21786,0.07,0.09749,0.83333,0.17456
V2 (sin Genero),0.285,0.23094,0.06604,0.09915,0.83333,0.17722
V2 (sin Genero),0.29,0.24183,0.06306,0.10057,0.83333,0.17949
V2 (sin Genero),0.295,0.26797,0.05691,0.10417,0.83333,0.18519
V2 (sin Genero),0.3,0.27887,0.05469,0.10574,0.83333,0.18767
V2 (sin Genero),0.305,0.28322,0.05385,0.10638,0.83333,0.18868
V2 (sin Genero),0.31,0.2963,0.05147,0.10836,0.83333,0.19178
V2 (sin Genero),0.315,0.32244,0.05405,0.10932,0.80952,0.19263
V2 (sin Genero),0.32,0.35294,0.05556,0.11111,0.78571,0.19469
V2 (sin Genero),0.325,0.38562,0.0565,0.11348,0.7619,0.19753
V2 (sin Genero),0.33,0.40305,0.05405,0.11679,0.7619,0.20253
V2 (sin Genero),0.335,0.42048,0.05699,0.11654,0.7381,0.2013
V2 (sin Genero),0.34,0.44009,0.05941,0.11673,0.71429,0.20067
V2 (sin Genero),0.345,0.45534,0.0622,0.116,0.69048,0.19863
V2 (sin Genero),0.35,0.47495,0.05963,0.12033,0.69048,0.20495
V2 (sin Genero),0.355,0.49237,0.05752,0.12446,0.69048,0.21091
V2 (sin Genero),0.36,0.51634,0.05485,0.13063,0.69048,0.2197
V2 (sin Genero),0.365,0.53595,0.05691,0.13146,0.66667,0.21961
V2 (sin Genero),0.37,0.5512,0.05929,0.13107,0.64286,0.21774
